nome,email,nome_mae,cpf
Paulo Souza,paulo.souza0@gmail.com,Beatriz Silva,829.818.840-15
Amanda Souza,amanda.souza1@gmail.com,Carla Souza,156.805.787-32
Amanda Monteiro,amanda.monteiro2@gmail.com,Joana Silva,326.877.402-97
Olívia Pedro,olívia.pedro3@gmail.com,Joana Dias,420.847.808-71
Sabrina Silva,sabrina.silva4@gmail.com,Carla Alves,611.255.152-68
Carla Dias,carla.dias5@gmail.com,Carla Souza,753.916.497-10
Ana Rocha,ana.rocha6@gmail.com,Joana Costa,157.692.187-79
Xênia Dias,xênia.dias7@gmail.com,Maria Pedro,433.305.800-72
Olívia Costa,olívia.costa8@gmail.com,Fernanda Costa,127.741.395-12
Sabrina Monteiro,sabrina.monteiro9@gmail.com,Maria Monteiro,564.848.305-43
Rafael Martins,rafael.martins10@gmail.com,Patrícia Martins,723.536.748-44
Yara Lima,yara.lima11@gmail.com,Marta Pedro,120.505.274-15
Olívia Souza,olívia.souza12@gmail.com,Fernanda Martins,996.133.442-28
Lucas Costa,lucas.costa13@gmail.com,Joana Alves,492.112.524-24
Paulo Lima,paulo.lima14@gmail.com,Joana Lima,939.791.672-98
Isabela Alves,isabela.alves15@gmail.com,Marta Martins,809.495.874-16
Lucas Dias,lucas.dias16@gmail.com,Fernanda Silva,433.494.677-70
Rafael Rocha,rafael.rocha17@gmail.com,Cláudia Rocha,765.491.393-93
João Monteiro,joão.monteiro18@gmail.com,Patrícia Silva,811.780.746-76
Yara Rocha,yara.rocha19@gmail.com,Carla Silva,578.611.345-21
Tiago Silva,tiago.silva20@gmail.com,Maria Souza,120.813.667-89
Rafael Dias,rafael.dias21@gmail.com,Renata Lima,502.651.532-11
Gabriela Dias,gabriela.dias22@gmail.com,Luciana Dias,849.998.303-47
Daniel Alves,daniel.alves23@gmail.com,Marta Costa,976.129.716-12
Isabela Souza,isabela.souza24@gmail.com,Maria Silva,986.553.280-13
Lucas Costa,lucas.costa25@gmail.com,Luciana Alves,639.148.926-57
Karla Lima,karla.lima26@gmail.com,Carla Dias,820.233.685-55
Felipe Monteiro,felipe.monteiro27@gmail.com,Patrícia Alves,386.445.265-92
Wesley Souza,wesley.souza28@gmail.com,Cláudia Pedro,459.658.492-86
Daniel Costa,daniel.costa29@gmail.com,Beatriz Rocha,849.333.752-38
